Platform,Problem ID,Problem Name,Rating,Status,Problem Link,Contest Name,Contest Date,Contest Link,Tags,Last Edit
Codeforces,1687B,Railway System,1700,,https://codeforces.com/contest/1687/problem/B,Codeforces Round #796 (Div. 1),2022-06-03,https://codeforces.com/contest/1687,"constructive algorithms, graphs, greedy, interactive, sortings",
Codeforces,1687A,The Enchanted Forest,1600,,https://codeforces.com/contest/1687/problem/A,Codeforces Round #796 (Div. 1),2022-06-03,https://codeforces.com/contest/1687,"brute force, greedy",
Codeforces,1686B,Odd Subarrays,800,,https://codeforces.com/contest/1686/problem/B,Codeforces Round #794 (Div. 2),2022-05-25,https://codeforces.com/contest/1686,"dp, greedy",
Codeforces,1686A,Everything Everywhere All But One,800,,https://codeforces.com/contest/1686/problem/A,Codeforces Round #794 (Div. 2),2022-05-25,https://codeforces.com/contest/1686,greedy,
Codeforces,1685E,The Ultimate LIS Problem,3500,,https://codeforces.com/contest/1685/problem/E,Codeforces Round #794 (Div. 1),2022-05-25,https://codeforces.com/contest/1685,"data structures, greedy",
Codeforces,1685D2,Permutation Weight (Hard Version),3500,,https://codeforces.com/contest/1685/problem/D2,Codeforces Round #794 (Div. 1),2022-05-25,https://codeforces.com/contest/1685,"constructive algorithms, greedy",
Codeforces,1685D1,Permutation Weight (Easy Version),2800,,https://codeforces.com/contest/1685/problem/D1,Codeforces Round #794 (Div. 1),2022-05-25,https://codeforces.com/contest/1685,"constructive algorithms, dfs and similar, dsu",
Codeforces,1685C,Bring Balance,2600,,https://codeforces.com/contest/1685/problem/C,Codeforces Round #794 (Div. 1),2022-05-25,https://codeforces.com/contest/1685,"brute force, constructive algorithms, greedy",
Codeforces,1685B,Linguistics,2000,,https://codeforces.com/contest/1685/problem/B,Codeforces Round #794 (Div. 1),2022-05-25,https://codeforces.com/contest/1685,"greedy, implementation, sortings, strings",
Codeforces,1685A,Circular Local MiniMax,1100,,https://codeforces.com/contest/1685/problem/A,Codeforces Round #794 (Div. 1),2022-05-25,https://codeforces.com/contest/1685,"constructive algorithms, greedy, sortings",
Codeforces,1684H,Hard Cut,3400,,https://codeforces.com/contest/1684/problem/H,Codeforces Round #792 (Div. 1 + Div. 2),2022-05-19,https://codeforces.com/contest/1684,"constructive algorithms, dfs and similar, divide and conquer, math",
Codeforces,1684G,Euclid Guess,2800,,https://codeforces.com/contest/1684/problem/G,Codeforces Round #792 (Div. 1 + Div. 2),2022-05-19,https://codeforces.com/contest/1684,"constructive algorithms, flows, graph matchings, math, number theory",
Codeforces,1684F,Diverse Segments,2600,,https://codeforces.com/contest/1684/problem/F,Codeforces Round #792 (Div. 1 + Div. 2),2022-05-19,https://codeforces.com/contest/1684,"data structures, two pointers",
Codeforces,1684E,MEX vs DIFF,2100,,https://codeforces.com/contest/1684/problem/E,Codeforces Round #792 (Div. 1 + Div. 2),2022-05-19,https://codeforces.com/contest/1684,"binary search, brute force, constructive algorithms, data structures, greedy, two pointers",
Codeforces,1684D,Traps,1700,,https://codeforces.com/contest/1684/problem/D,Codeforces Round #792 (Div. 1 + Div. 2),2022-05-19,https://codeforces.com/contest/1684,"constructive algorithms, greedy, sortings",
